time,power
2024-11-23 11:56:28.625523,556
2024-11-23 11:56:43.777297,544
2024-11-23 11:56:48.814881,545
2024-11-23 11:56:53.873484,543
2024-11-23 11:56:56.542589,543
2024-11-23 11:57:01.534247,546
2024-11-23 11:57:08.982263,547
2024-11-23 11:57:14.003880,545
2024-11-23 11:57:18.579000,558
2024-11-23 11:57:23.710515,473
2024-11-23 11:57:28.829967,479
2024-11-23 11:57:33.897582,469
2024-11-23 11:57:39.047061,463
2024-11-23 11:57:43.589172,464
2024-11-23 11:57:48.661717,459
2024-11-23 11:57:53.735358,473
2024-11-23 11:57:58.767881,457
2024-11-23 11:58:03.799490,490
2024-11-23 11:58:08.851084,467
2024-11-23 11:58:13.921640,465
2024-11-23 11:58:18.997227,482
2024-11-23 11:58:35.703276,414
2024-11-23 11:58:41.295294,407
2024-11-23 11:58:54.021678,447
2024-11-23 11:58:59.082198,488
2024-11-23 11:59:04.147770,498
2024-11-23 11:59:09.171338,497
2024-11-23 11:59:14.206958,492
2024-11-23 11:59:19.273504,498
2024-11-23 11:59:24.371042,495
2024-11-23 11:59:29.487541,493
2024-11-23 11:59:34.065468,495
2024-11-23 11:59:39.134212,495
2024-11-23 11:59:44.217723,494
2024-11-23 11:59:49.240359,493
2024-11-23 11:59:54.289962,493
2024-11-23 11:59:59.317559,492
2024-11-23 12:00:04.369003,493
2024-11-23 12:00:09.011139,499
2024-11-23 12:00:14.066769,494
2024-11-23 12:00:19.109322,494
2024-11-23 12:00:24.156878,412
2024-11-23 12:00:29.219450,494
2024-11-23 12:00:34.239093,282
2024-11-23 12:00:36.963117,264
2024-11-23 12:00:44.362832,262
2024-11-23 12:00:49.432835,277
2024-11-23 12:00:53.980235,286
2024-11-23 12:00:59.102594,264
2024-11-23 12:01:04.188904,266
2024-11-23 12:01:09.255600,285
2024-11-23 12:01:14.269218,267
2024-11-23 12:01:19.302911,303
2024-11-23 12:01:24.382474,218
2024-11-23 12:01:29.481025,291
2024-11-23 12:01:34.064098,273
2024-11-23 12:01:39.177588,275
2024-11-23 12:01:44.253148,266
2024-11-23 12:01:49.355445,261
2024-11-23 12:01:54.445194,204
2024-11-23 12:01:58.975320,196
2024-11-23 12:02:04.001929,189
2024-11-23 12:02:09.057510,176
2024-11-23 12:02:14.088128,173
2024-11-23 12:02:19.114687,173
2024-11-23 12:02:24.148288,162
2024-11-23 12:02:29.225747,173
2024-11-23 12:02:34.314393,172
2024-11-23 12:02:39.355943,172
2024-11-23 12:02:44.369578,171
2024-11-23 12:02:49.404173,175
2024-11-23 12:02:54.432748,181
2024-11-23 12:02:59.501341,173
2024-11-23 12:03:04.061437,172
2024-11-23 12:03:09.105070,173
2024-11-23 12:03:14.143595,162
2024-11-23 12:03:19.249110,162
2024-11-23 12:03:24.299682,229
2024-11-23 12:03:29.318324,259
2024-11-23 12:03:34.396830,259
2024-11-23 12:03:39.433423,260
2024-11-23 12:03:44.047418,260
2024-11-23 12:03:49.082096,260
2024-11-23 12:03:54.110665,1908
2024-11-23 12:03:59.172224,2222
2024-11-23 12:04:04.212825,2218
2024-11-23 12:04:09.283359,2215
2024-11-23 12:04:14.284979,2701
2024-11-23 12:04:19.311594,2260
2024-11-23 12:04:24.347207,2257
2024-11-23 12:04:29.388753,2261
2024-11-23 12:04:34.463318,2252
2024-11-23 12:04:39.013426,2255
2024-11-23 12:04:44.066000,2241
2024-11-23 12:04:49.098575,2246
2024-11-23 12:04:54.176105,2249
2024-11-23 12:04:59.232732,2239
2024-11-23 12:05:04.242311,2237
2024-11-23 12:05:09.240829,2239
2024-11-23 12:05:14.305464,2242
2024-11-23 12:05:19.430120,2236
2024-11-23 12:05:24.438531,2150
2024-11-23 12:05:29.515133,2220
2024-11-23 12:05:34.125184,2219
2024-11-23 12:05:39.171442,2219
2024-11-23 12:05:44.211379,2222
2024-11-23 12:05:49.294878,2220
2024-11-23 12:05:54.320473,2209
2024-11-23 12:05:59.366075,2211
2024-11-23 12:06:04.427651,2211
2024-11-23 12:06:09.058663,2215
2024-11-23 12:06:14.187133,2215
2024-11-23 12:06:19.261021,2211
2024-11-23 12:06:24.291285,2140
2024-11-23 12:06:29.434338,2211
2024-11-23 12:06:34.545256,2216
2024-11-23 12:06:39.101378,2217
2024-11-23 12:06:44.114977,2215
2024-11-23 12:06:49.159563,2214
2024-11-23 12:06:54.158167,2215
2024-11-23 12:06:59.259480,2215
2024-11-23 12:07:04.300291,2211
2024-11-23 12:07:09.333869,2219
2024-11-23 12:07:14.376458,2213
2024-11-23 12:07:19.396065,2228
2024-11-23 12:07:24.464623,2236
2024-11-23 12:07:29.001700,2231
2024-11-23 12:07:34.058298,2229
2024-11-23 12:07:39.119885,2239
2024-11-23 12:07:44.165418,2247
2024-11-23 12:07:49.221968,2247
2024-11-23 12:07:54.292519,2169
2024-11-23 12:07:59.374081,2247
2024-11-23 12:08:04.453603,2250
2024-11-23 12:08:06.980836,2271
2024-11-23 12:08:14.051288,2273
2024-11-23 12:08:19.087975,2254
2024-11-23 12:08:24.164132,2258
2024-11-23 12:08:29.200985,2243
2024-11-23 12:08:34.230564,2262
2024-11-23 12:08:39.323080,2274
